"","Rank","Track","Artist","Streams","Date"
"820",20,"Maafkan Aku #terlanjurmencinta","Tiara Andini",119704,2021-02-04
"821",21,"Life Goes On","BTS",118709,2021-02-04
"822",22,"Makna Cinta","Rizky Febian",115418,2021-02-04
"823",23,"Sofia","Clairo",111922,2021-02-04
"824",24,"Resah Jadi Luka","Daun Jatuh",109037,2021-02-04
"825",25,"Before You Go","Lewis Capaldi",108822,2021-02-04
"826",26,"Into Your Arms (feat. Ava Max)","Witt Lowry",104199,2021-02-04
"827",27,"Stuck with U (with Justin Bieber)","Ariana Grande",102818,2021-02-04
"828",28,"Good Days","SZA",102461,2021-02-04
"829",29,"Lose","NIKI",98739,2021-02-04
"830",30,"Copines","Aya Nakamura",97450,2021-02-04
"831",31,"Tanpa Batas Waktu - 8D Version","Ade Govinda, Fadly",97165,2021-02-04
"832",32,"Kukira Kau Rumah","Amigdala",94555,2021-02-04
"833",33,"Cinta Dalam Hati","Ungu",93864,2021-02-04
"834",34,"Cintanya Aku","Tiara Andini, Arsy Widianto",92933,2021-02-04
"835",35,"Lonely (with benny blanco)","Justin Bieber",90258,2021-02-04
"836",36,"One Only","Pamungkas",89027,2021-02-04
"837",37,"Kenangan Manis","Pamungkas",86571,2021-02-04
"838",38,"Monolog","Pamungkas",85276,2021-02-04
"839",39,"Mood (feat. iann dior)","24kGoldn",81766,2021-02-04
"840",40,"Someone You Loved","Lewis Capaldi",81367,2021-02-04
"841",41,"Waktu Yang Salah","Fiersa Besari, Thantri Sundari",80545,2021-02-04
"842",42,"Heartbreak Anniversary","Giveon",79971,2021-02-04
"843",43,"Pura Pura Lupa","Mahen",79880,2021-02-04
"844",44,"Hurts So Good","Astrid S",79457,2021-02-04
"845",45,"I'm Missing You","Sunjae",77465,2021-02-04
"846",46,"Reflection - From ""Mulan""","Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",75250,2021-02-04
"847",47,"Sesuatu Di Jogja","Adhitia Sofyan",73002,2021-02-04
"848",48,"Secukupnya","Hindia",72388,2021-02-04
"849",49,"I Love You but I'm Letting Go","Pamungkas",71675,2021-02-04
"850",50,"Anyone","Justin Bieber",70934,2021-02-04
"851",51,"Rumah Ke Rumah","Hindia",70513,2021-02-04
"852",52,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",68497,2021-02-04
"853",53,"Kau Lagi","Celine & Nadya",63323,2021-02-04
"854",54,"I Still Love You","TheOvertunes",59691,2021-02-04
"855",55,"you broke me first","Tate McRae",59131,2021-02-04
"856",56,"Lovesick Girls","BLACKPINK",58992,2021-02-04
"857",57,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",56733,2021-02-04
"858",58,"Selaras","Kunto Aji, Nadin Amizah",56457,2021-02-04
"859",59,"Hilmira","Dhika Fawaz",56325,2021-02-04
"860",60,"bitterlove","Ardhito Pramono",55763,2021-02-04
"861",61,"To the Bone","Pamungkas",55536,2021-02-04
"862",62,"lowkey","NIKI",53624,2021-02-04
"863",63,"Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",53303,2021-02-04
"864",64,"Day & Night","Jung Seung Hwan",52912,2021-02-04
"865",65,"Terlalu Cinta","Rossa",52562,2021-02-04
"866",66,"What You Know Bout Love","Pop Smoke",52355,2021-02-04
"867",67,"Black Mamba","aespa",52273,2021-02-04
"868",68,"Memories","Maroon 5",51383,2021-02-04
"869",69,"Closure","Pamungkas",51232,2021-02-04
"870",70,"How You Like That","BLACKPINK",51217,2021-02-04
"871",71,"Putus Atau Terus","Judika",51091,2021-02-04
"872",72,"Mad at Disney","salem ilese",50935,2021-02-04
"873",73,"C.H.R.I.S.Y.E.","Diskoria, Laleilmanino, Eva Celia",50510,2021-02-04
"874",74,"Adu Rayu","Yovie Widianto, Tulus, Glenn Fredly",49893,2021-02-04
"875",75,"Tanya Hati","Pasto",49754,2021-02-04
"876",76,"La La Lost You - Acoustic Version","NIKI, 88rising",49659,2021-02-04
"877",77,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",49618,2021-02-04
"878",78,"Tanpa Tergesa","Juicy Luicy",49125,2021-02-04
"879",79,"LATHI (with Sara Fajira)","Weird Genius",48081,2021-02-04
"880",80,"Blueberry Eyes (feat. Lil Mosey, SUGA of BTS & Olivia O'Brien)","MAX",47942,2021-02-04
"881",81,"if u could see me cryin' in my room","Arash Buana, raissa anggiani",47520,2021-02-04
"882",82,"Kala Cinta Menggoda","Noah",47360,2021-02-04
"883",83,"willow","Taylor Swift",46282,2021-02-04
"884",84,"Di Persimpangan Dilema","Terry",46183,2021-02-04
"885",85,"Luka Yang Kurindu","Mahen",46047,2021-02-04
"886",86,"Ice Cream (with Selena Gomez)","BLACKPINK",45987,2021-02-04
"887",87,"You Got It","Vedo",45987,2021-02-04
"888",88,"Pretty Savage","BLACKPINK",45968,2021-02-04
"889",89,"eight(Prod.&Feat. SUGA of BTS)","IU",45902,2021-02-04
"890",90,"2002","Anne-Marie",45876,2021-02-04
"891",91,"Sedang Sayang Sayangnya","Mawar de Jongh",45751,2021-02-04
"892",92,"Rehat","Kunto Aji",45537,2021-02-04
"893",93,"I Love You 3000","Stephanie Poetri",45429,2021-02-04
"894",94,"Garis Terdepan","Fiersa Besari",45070,2021-02-04
"895",95,"Psycho","Red Velvet",44963,2021-02-04
"896",96,"Terpesona (feat. Bulan)","Gustixa",44922,2021-02-04
"897",97,"Rumpang","Nadin Amizah",44660,2021-02-04
"898",98,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685, Jason Derulo",43786,2021-02-04
"899",99,"Boy With Luv (feat. Halsey)","BTS",43703,2021-02-04
"900",100,"Tolong","Budi Doremi",43688,2021-02-04
"901",101,"Adaptasi","Tulus",43165,2021-02-04
"902",102,"Sorai","Nadin Amizah",43101,2021-02-04
"903",103,"Sweet Scar","Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",43022,2021-02-04
"904",104,"Hey Stupid, I Love You","JP Saxe",42816,2021-02-04
"905",105,"Fine","TAEYEON",42668,2021-02-04
"906",106,"Night Changes","One Direction",42344,2021-02-04
"907",107,"Celengan Rindu","Fiersa Besari",42042,2021-02-04
"908",108,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",42017,2021-02-04
"909",109,"Say You Won't Let Go","James Arthur",41942,2021-02-04
"910",110,"Starlight","CHA NI (SF9)",41914,2021-02-04
"911",111,"Lebih Dari Egoku","Mawar de Jongh",41807,2021-02-04
"912",112,"Make A Wish (Birthday Song)","NCT U",41779,2021-02-04
"913",113,"comethru","Jeremy Zucker",41664,2021-02-04
"914",114,"Dan...","Sheila On 7",41555,2021-02-04
"915",115,"Bentuk Cinta","Eclat Story",41226,2021-02-04
"916",116,"Don't Watch Me Cry","Alex Porat",41092,2021-02-04
"917",117,"Bicara (feat. Monita Tahalea)","TheOvertunes",41054,2021-02-04
"918",118,"I CAN'T STOP ME","TWICE",40587,2021-02-04
"919",119,"Fly Me to the Moon","The Macarons Project",40347,2021-02-04
"920",120,"Monokrom","Tulus",40064,2021-02-04
"921",121,"Melawan Hati","Fiersa Besari, Prinsa Mandagie",39917,2021-02-04
"922",122,"Blueberry Eyes (feat. SUGA of BTS)","MAX",39325,2021-02-04
"923",123,"Langit Abu-Abu","Tulus",39055,2021-02-04
"924",124,"Train Wreck","James Arthur",39023,2021-02-04
"925",125,"Intentions (feat. Quavo)","Justin Bieber",38880,2021-02-04
"926",126,"Best Part (feat. Daniel Caesar)","H.E.R.",38875,2021-02-04
"927",127,"Hal Indah Butuh Waktu Untuk Datang","Idgitaf",38703,2021-02-04
"928",128,"Mantra Cinta","Rizky Febian",38429,2021-02-04
"929",129,"MY TREASURE","TREASURE",38340,2021-02-04
"930",130,"Lara","Dialog Senja",38041,2021-02-04
"931",131,"April","Fiersa Besari",37970,2021-02-04
"932",132,"10,000 Hours (with Justin Bieber)","Dan + Shay",37922,2021-02-04
"933",133,"Bad Liar","Imagine Dragons",37885,2021-02-04
"934",134,"Sit Still, Look Pretty","Daya",37859,2021-02-04
"935",135,"Selamat (Selamat Tinggal)","Virgoun, Audy",37827,2021-02-04
"936",136,"Duhai Sayang","Yura Yunita",37737,2021-02-04
"937",137,"Figurinha - Ao Vivo","Douglas & Vinicius, MC Bruninho",37658,2021-02-04
"938",138,"Kangen","Dewa 19",37635,2021-02-04
"939",139,"Love so Fine","Cha Eun Woo",37579,2021-02-04
"940",140,"Cinta Luar Biasa","Andmesh",37559,2021-02-04
"941",141,"Ruang Rindu","Letto",37406,2021-02-04
"942",142,"Perlahan","Guyon Waton",36693,2021-02-04
"943",143,"90's Love","NCT U",36580,2021-02-04
"944",144,"Streets","Doja Cat",36363,2021-02-04
"945",145,"Save Your Tears","The Weeknd",36287,2021-02-04
"946",146,"Januari","Glenn Fredly",36145,2021-02-04
"947",147,"Rayu","Marion Jola, Laleilmanino",36127,2021-02-04
"948",148,"I'm in the Mood for Dancing","YUJU",35909,2021-02-04
"949",149,"Halu","FePutri",35816,2021-02-04
"950",150,"Cinta Dan Rahasia","Yura Yunita, Glenn Fredly",35711,2021-02-04
"951",151,"death bed (coffee for your head)","Powfu, beabadoobee",35593,2021-02-04
"952",152,"Rindu Dalam Hati","Arsy Widianto, Brisia Jodie",35366,2021-02-04
"953",153,"Jangan Rubah Takdirku","Andmesh",35364,2021-02-04
"954",154,"Afterglow","Ed Sheeran",35247,2021-02-04
"955",155,"You","Ten2Five",34717,2021-02-04
"956",156,"Vibez","ZAYN",34509,2021-02-04
"957",157,"Dandelions","Ruth B.",34465,2021-02-04
"958",158,"Takkan Terganti","Marcell",34331,2021-02-04
"959",159,"Strawberries & Cigarettes","Troye Sivan",34040,2021-02-04
"960",160,"Kenangan Terindah","SAMSONS",33988,2021-02-04
"961",161,"Sekali Ini Saja","Glenn Fredly",33676,2021-02-04
"962",162,"lovely (with Khalid)","Billie Eilish",33467,2021-02-04
"963",163,"Soulmate","Kahitna",33248,2021-02-04
"964",164,"I Like Me Better","Lauv",33244,2021-02-04
"965",165,"Running","Gaho",33228,2021-02-04
"966",166,"Sorry","Pamungkas",33127,2021-02-04
"967",167,"It's You","Ali Gatie",33118,2021-02-04
"968",168,"Future","Red Velvet",32939,2021-02-04
"969",169,"Blue & Grey","BTS",32933,2021-02-04
"970",170,"Membasuh","Hindia, Rara Sekar",32710,2021-02-04
"971",171,"Best Friend","Rex Orange County",32618,2021-02-04
"972",172,"Holy (feat. Chance The Rapper)","Justin Bieber",32576,2021-02-04
"973",173,"Tukar Jiwa","Tulus",32533,2021-02-04
"974",174,"Pilu Membiru","Kunto Aji",32522,2021-02-04
"975",175,"Mama Cry","YNW Melly",32475,2021-02-04
"976",176,"Pelangi","Hivi!",32464,2021-02-04
"977",177,"Dancing in My Room","347aidan",32379,2021-02-04
"978",178,"Nyaman","Andmesh",32233,2021-02-04
"979",179,"Play Date","Melanie Martinez",32069,2021-02-04
"980",180,"1000 Tahun Lamanya","Tulus",32045,2021-02-04
"981",181,"cigarettes of ours","Ardhito Pramono",31925,2021-02-04
"982",182,"Not Shy","ITZY",31878,2021-02-04
"983",183,"Kartonyono Medot Janji","Denny Caknan",31722,2021-02-04
"984",184,"Señorita","Shawn Mendes, Camila Cabello",31538,2021-02-04
"985",185,"Fana Merah Jambu","Fourtwnty",31453,2021-02-04
"986",186,"Remaja","Hivi!",31377,2021-02-04
"987",187,"If the World Was Ending - feat. Julia Michaels","JP Saxe",31349,2021-02-04
"988",188,"Indah Pada Waktunya","Rizky Febian, Aisyah Aziz",31125,2021-02-04
"989",189,"Not With Me","Bondan Prakoso, Fade2Black",31071,2021-02-04
"990",190,"You Are The Reason","Calum Scott",30991,2021-02-04
"991",191,"When You Love Someone","Endah N Rhesa",30967,2021-02-04
"992",192,"Hampa","Ari Lasso",30923,2021-02-04
"993",193,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",30865,2021-02-04
"994",194,"Pamit","Tulus",30722,2021-02-04
"995",195,"Dekat Di Hati","RAN",30310,2021-02-04
"996",196,"Without Me","Halsey",30308,2021-02-04
"997",197,"Too Good At Goodbyes","Sam Smith",30256,2021-02-04
"998",198,"Hitam Putih","Fourtwnty",30129,2021-02-04
"999",199,"Be Alright","Dean Lewis",29998,2021-02-04
"1000",200,"Therefore I Am","Billie Eilish",29933,2021-02-04
"1001",1,"Bertaut","Nadin Amizah",286009,2021-02-11
"1002",2,"At My Worst","Pink Sweat$",266283,2021-02-11
"1003",3,"Blue Jeans","GANGGA",254941,2021-02-11
"1004",4,"drivers license","Olivia Rodrigo",235269,2021-02-11
"1005",5,"Mungkin Hari Ini Esok Atau Nanti","Anneth",226605,2021-02-11
"1006",6,"Melukis Senja","Budi Doremi",214121,2021-02-11
"1007",7,"Snowman","Sia",182174,2021-02-11
"1008",8,"Weak","Larissa Lambert",157266,2021-02-11
"1009",9,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",155283,2021-02-11
"1010",10,"34+35","Ariana Grande",148298,2021-02-11
"1011",11,"Heather","Conan Gray",136112,2021-02-11
"1012",12,"Katakan Saja","Khifnu",135946,2021-02-11
"1013",13,"positions","Ariana Grande",133850,2021-02-11
"1014",14,"Dynamite","BTS",132985,2021-02-11
"1015",15,"happy","Skinnyfabs",132179,2021-02-11
"1016",16,"Hurts So Good","Astrid S",132079,2021-02-11
"1017",17,"Cuek","Rizky Febian",126187,2021-02-11
"1018",18,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",123394,2021-02-11
"1019",19,"Celebrity","IU",123137,2021-02-11
"1020",20,"Makna Cinta","Rizky Febian",121189,2021-02-11
"1021",21,"Bahasa Kalbu","Raisa, Andi Rianto",120424,2021-02-11
"1022",22,"Maafkan Aku #terlanjurmencinta","Tiara Andini",115106,2021-02-11
"1023",23,"Life Goes On","BTS",112031,2021-02-11
"1024",24,"Sofia","Clairo",110119,2021-02-11
"1025",25,"Into Your Arms (feat. Ava Max)","Witt Lowry",107897,2021-02-11
"1026",26,"Before You Go","Lewis Capaldi",106595,2021-02-11
"1027",27,"Resah Jadi Luka","Daun Jatuh",103239,2021-02-11
"1028",28,"Stuck with U (with Justin Bieber)","Ariana Grande",102293,2021-02-11
"1029",29,"Copines","Aya Nakamura",102202,2021-02-11
"1030",30,"Lose","NIKI",98779,2021-02-11
"1031",31,"I'm Missing You","Sunjae",97868,2021-02-11
"1032",32,"Good Days","SZA",96845,2021-02-11
"1033",33,"Tanpa Batas Waktu - 8D Version","Ade Govinda, Fadly",96379,2021-02-11
"1034",34,"Save Your Tears","The Weeknd",93099,2021-02-11
"1035",35,"C.H.R.I.S.Y.E.","Diskoria, Laleilmanino, Eva Celia",93007,2021-02-11
"1036",36,"Kukira Kau Rumah","Amigdala",90677,2021-02-11
"1037",37,"One Only","Pamungkas",90636,2021-02-11
"1038",38,"Lonely (with benny blanco)","Justin Bieber",90153,2021-02-11
"1039",39,"Cinta Dalam Hati","Ungu",88786,2021-02-11
"1040",40,"Heartbreak Anniversary","Giveon",87716,2021-02-11
"1041",41,"Monolog","Pamungkas",85208,2021-02-11
"1042",42,"Kenangan Manis","Pamungkas",84401,2021-02-11
"1043",43,"Mood (feat. iann dior)","24kGoldn",81741,2021-02-11
"1044",44,"Someone You Loved","Lewis Capaldi",80685,2021-02-11
"1045",45,"Pura Pura Lupa","Mahen",77103,2021-02-11
"1046",46,"Cintanya Aku","Tiara Andini, Arsy Widianto",77096,2021-02-11
"1047",47,"Rumah Ke Rumah","Hindia",77095,2021-02-11
"1048",48,"Waktu Yang Salah","Fiersa Besari, Thantri Sundari",76971,2021-02-11
"1049",49,"Secukupnya","Hindia",75102,2021-02-11
"1050",50,"Sesuatu Di Jogja","Adhitia Sofyan",73198,2021-02-11
"1051",51,"Reflection - From ""Mulan""","Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",72097,2021-02-11
"1052",52,"Starlight","CHA NI (SF9)",70798,2021-02-11
"1053",53,"Kau Lagi","Celine & Nadya",66751,2021-02-11
"1054",54,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",65344,2021-02-11
"1055",55,"Forever (<U+C57D><U+C18D>)","aespa",65156,2021-02-11
"1056",56,"I Love You but I'm Letting Go","Pamungkas",64406,2021-02-11
"1057",57,"Putus Atau Terus","Judika",64291,2021-02-11
"1058",58,"To the Bone","Pamungkas",62833,2021-02-11
"1059",59,"you broke me first","Tate McRae",61324,2021-02-11
"1060",60,"I Still Love You","TheOvertunes",59915,2021-02-11
"1061",61,"Anyone","Justin Bieber",58987,2021-02-11
"1062",62,"bitterlove","Ardhito Pramono",58908,2021-02-11
"1063",63,"Lovesick Girls","BLACKPINK",56317,2021-02-11
"1064",64,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",54189,2021-02-11
"1065",65,"lowkey","NIKI",53130,2021-02-11
"1066",66,"Day & Night","Jung Seung Hwan",52786,2021-02-11
"1067",67,"What You Know Bout Love","Pop Smoke",52100,2021-02-11
"1068",68,"Kota","Dere",51199,2021-02-11
"1069",69,"Terlalu Cinta","Rossa",51095,2021-02-11
"1070",70,"Memories","Maroon 5",51016,2021-02-11
"1071",71,"How You Like That","BLACKPINK",50670,2021-02-11
"1072",72,"Adu Rayu","Yovie Widianto, Tulus, Glenn Fredly",50099,2021-02-11
"1073",73,"Black Mamba","aespa",49882,2021-02-11
"1074",74,"Selaras","Kunto Aji, Nadin Amizah",49788,2021-02-11
"1075",75,"Kala Cinta Menggoda","Noah",49286,2021-02-11
"1076",76,"Blueberry Eyes (feat. Lil Mosey, SUGA of BTS & Olivia O'Brien)","MAX",49136,2021-02-11
"1077",77,"Tanya Hati","Pasto",48704,2021-02-11
"1078",78,"Closure","Pamungkas",48664,2021-02-11
"1079",79,"Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",48605,2021-02-11
"1080",80,"Tanpa Tergesa","Juicy Luicy",48423,2021-02-11
"1081",81,"La La Lost You - Acoustic Version","NIKI, 88rising",48298,2021-02-11
"1082",82,"LATHI (with Sara Fajira)","Weird Genius",47677,2021-02-11
"1083",83,"2002","Anne-Marie",47382,2021-02-11
"1084",84,"Mad at Disney","salem ilese",47122,2021-02-11
"1085",85,"eight(Prod.&Feat. SUGA of BTS)","IU",46761,2021-02-11
"1086",86,"Hilmira","Dhika Fawaz",46523,2021-02-11
"1087",87,"if u could see me cryin' in my room","Arash Buana, raissa anggiani",46512,2021-02-11
"1088",88,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",46099,2021-02-11
"1089",89,"Ice Cream (with Selena Gomez)","BLACKPINK",46035,2021-02-11
"1090",90,"Boy With Luv (feat. Halsey)","BTS",45717,2021-02-11
"1091",91,"Mantra Cinta","Rizky Febian",45616,2021-02-11
"1092",92,"Psycho","Red Velvet",45565,2021-02-11
"1093",93,"Garis Terdepan","Fiersa Besari",45098,2021-02-11
"1094",94,"Di Persimpangan Dilema","Terry",44690,2021-02-11
"1095",95,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685, Jason Derulo",44684,2021-02-11
"1096",96,"Pretty Savage","BLACKPINK",44618,2021-02-11
"1097",97,"Rehat","Kunto Aji",44565,2021-02-11
"1098",98,"Sedang Sayang Sayangnya","Mawar de Jongh",44440,2021-02-11
"1099",99,"Don't Watch Me Cry","Alex Porat",44091,2021-02-11
"1100",100,"Sweet Scar","Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",44068,2021-02-11
"1101",101,"Luka Yang Kurindu","Mahen",43791,2021-02-11
"1102",102,"Tolong","Budi Doremi",43258,2021-02-11
"1103",103,"I Love You 3000","Stephanie Poetri",42953,2021-02-11
"1104",104,"Celengan Rindu","Fiersa Besari",42900,2021-02-11
"1105",105,"You Got It","Vedo",42769,2021-02-11
"1106",106,"Rumpang","Nadin Amizah",42514,2021-02-11
"1107",107,"Selamat (Selamat Tinggal)","Virgoun, Audy",42390,2021-02-11
"1108",108,"Adaptasi","Tulus",42319,2021-02-11
"1109",109,"comethru","Jeremy Zucker",42273,2021-02-11
"1110",110,"Night Changes","One Direction",42155,2021-02-11
"1111",111,"Dan...","Sheila On 7",41933,2021-02-11
"1112",112,"Say You Won't Let Go","James Arthur",41442,2021-02-11
"1113",113,"Bentuk Cinta","Eclat Story",40924,2021-02-11
"1114",114,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",40893,2021-02-11
"1115",115,"willow","Taylor Swift",40835,2021-02-11
"1116",116,"Monokrom","Tulus",40344,2021-02-11
"1117",117,"Sorai","Nadin Amizah",40173,2021-02-11
"1118",118,"Bicara (feat. Monita Tahalea)","TheOvertunes",40044,2021-02-11
"1119",119,"Hey Stupid, I Love You","JP Saxe",39704,2021-02-11
"1120",120,"Lebih Dari Egoku","Mawar de Jongh",39698,2021-02-11
"1121",121,"Make A Wish (Birthday Song)","NCT U",39686,2021-02-11
"1122",122,"Fly Me to the Moon","The Macarons Project",39539,2021-02-11
"1123",123,"Intentions (feat. Quavo)","Justin Bieber",39313,2021-02-11
"1124",124,"Fine","TAEYEON",39254,2021-02-11
"1125",125,"Best Part (feat. Daniel Caesar)","H.E.R.",39253,2021-02-11
"1126",126,"Kangen","Dewa 19",38782,2021-02-11
"1127",127,"Langit Abu-Abu","Tulus",38774,2021-02-11
"1128",128,"say i'm sorry","Afgan",38639,2021-02-11
"1129",129,"April","Fiersa Besari",38538,2021-02-11
"1130",130,"Januari","Glenn Fredly",38506,2021-02-11
"1131",131,"Cinta Luar Biasa","Andmesh",38318,2021-02-11
"1132",132,"10,000 Hours (with Justin Bieber)","Dan + Shay",38098,2021-02-11
"1133",133,"I CAN'T STOP ME","TWICE",37959,2021-02-11
"1134",134,"Bad Liar","Imagine Dragons",37698,2021-02-11
"1135",135,"Perlahan","Guyon Waton",37560,2021-02-11
"1136",136,"Blueberry Eyes (feat. SUGA of BTS)","MAX",37157,2021-02-11
"1137",137,"Lara","Dialog Senja",37088,2021-02-11
"1138",138,"Train Wreck","James Arthur",37085,2021-02-11
"1139",139,"Ruang Rindu","Letto",36751,2021-02-11
"1140",140,"Blinding Lights","The Weeknd",36599,2021-02-11
"1141",141,"Hal Indah Butuh Waktu Untuk Datang","Idgitaf",36449,2021-02-11
"1142",142,"Rayu","Marion Jola, Laleilmanino",36009,2021-02-11
"1143",143,"Halu","FePutri",35848,2021-02-11
"1144",144,"death bed (coffee for your head)","Powfu, beabadoobee",35696,2021-02-11
"1145",145,"Terpesona (feat. Bulan)","Gustixa",35383,2021-02-11
"1146",146,"Sit Still, Look Pretty","Daya",35360,2021-02-11
"1147",147,"Love so Fine","Cha Eun Woo",35254,2021-02-11
"1148",148,"Jangan Rubah Takdirku","Andmesh",35189,2021-02-11
"1149",149,"90's Love","NCT U",35129,2021-02-11
"1150",150,"Cinta Dan Rahasia","Yura Yunita, Glenn Fredly",35076,2021-02-11
"1151",151,"Pelangi","Hivi!",34703,2021-02-11
"1152",152,"You","Ten2Five",34116,2021-02-11
"1153",153,"Kenangan Terindah","SAMSONS",33711,2021-02-11
"1154",154,"I'm in the Mood for Dancing","YUJU",33709,2021-02-11
"1155",155,"I Like Me Better","Lauv",33537,2021-02-11
"1156",156,"Sorry","Pamungkas",33507,2021-02-11
"1157",157,"Strawberries & Cigarettes","Troye Sivan",33351,2021-02-11
"1158",158,"Sekali Ini Saja","Glenn Fredly",33318,2021-02-11
"1159",159,"Takkan Terganti","Marcell",33310,2021-02-11
"1160",160,"Streets","Doja Cat",33136,2021-02-11
"1161",161,"Dekat Di Hati","RAN",33091,2021-02-11
"1162",162,"Rindu Dalam Hati","Arsy Widianto, Brisia Jodie",33039,2021-02-11
"1163",163,"Fana Merah Jambu","Fourtwnty",32825,2021-02-11
"1164",164,"Mayonaka no Door / Stay With Me","Miki Matsubara",32723,2021-02-11
"1165",165,"It's You","Ali Gatie",32666,2021-02-11
"1166",166,"Holy (feat. Chance The Rapper)","Justin Bieber",32625,2021-02-11
"1167",167,"Membasuh","Hindia, Rara Sekar",32592,2021-02-11
"1168",168,"Kartonyono Medot Janji","Denny Caknan",32564,2021-02-11
"1169",169,"Soulmate","Kahitna",32500,2021-02-11
"1170",170,"Best Friend","Rex Orange County",32492,2021-02-11
"1171",171,"cigarettes of ours","Ardhito Pramono",32475,2021-02-11
"1172",172,"lovely (with Khalid)","Billie Eilish",32447,2021-02-11
"1173",173,"Tukar Jiwa","Tulus",32416,2021-02-11
"1174",174,"Figurinha - Ao Vivo","Douglas & Vinicius, MC Bruninho",32377,2021-02-11
"1175",175,"Play Date","Melanie Martinez",32358,2021-02-11
"1176",176,"Indah Pada Waktunya","Rizky Febian, Aisyah Aziz",32357,2021-02-11
"1177",177,"Running","Gaho",32188,2021-02-11
"1178",178,"Future","Red Velvet",32158,2021-02-11
"1179",179,"Nyaman","Andmesh",32043,2021-02-11
"1180",180,"Señorita","Shawn Mendes, Camila Cabello",32012,2021-02-11
"1181",181,"Hampa","Ari Lasso",31581,2021-02-11
"1182",182,"Vibez","ZAYN",31550,2021-02-11
"1183",183,"Remaja","Hivi!",31401,2021-02-11
"1184",184,"Too Good At Goodbyes","Sam Smith",31266,2021-02-11
"1185",185,"If the World Was Ending - feat. Julia Michaels","JP Saxe",31102,2021-02-11
"1186",186,"Jikalau Kau Cinta","Judika",31068,2021-02-11
"1187",187,"Without Me","Halsey",30968,2021-02-11
"1188",188,"When You Love Someone","Endah N Rhesa",30886,2021-02-11
"1189",189,"Dandelions","Ruth B.",30829,2021-02-11
"1190",190,"MY TREASURE","TREASURE",30810,2021-02-11
"1191",191,"Pilu Membiru","Kunto Aji",30689,2021-02-11
"1192",192,"Dancing in My Room","347aidan",30586,2021-02-11
"1193",193,"Be Alright","Dean Lewis",30575,2021-02-11
"1194",194,"Aku Yang Salah","Elmatu",30518,2021-02-11
"1195",195,"Not With Me","Bondan Prakoso, Fade2Black",30507,2021-02-11
"1196",196,"You Are The Reason","Calum Scott",30455,2021-02-11
"1197",197,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",30448,2021-02-11
"1198",198,"Blue & Grey","BTS",29984,2021-02-11
"1199",199,"Belum Siap Kehilangan","Stevan Pasaribu",29940,2021-02-11
"1200",200,"Not Shy","ITZY",29840,2021-02-11
"1201",1,"Bertaut","Nadin Amizah",277154,2021-02-18
"1202",2,"Blue Jeans","GANGGA",258065,2021-02-18
"1203",3,"At My Worst","Pink Sweat$",236292,2021-02-18
"1204",4,"drivers license","Olivia Rodrigo",218999,2021-02-18
"1205",5,"Melukis Senja","Budi Doremi",210134,2021-02-18
"1206",6,"Heartbreak Anniversary","Giveon",208782,2021-02-18
"1207",7,"Mungkin Hari Ini Esok Atau Nanti","Anneth",199185,2021-02-18
"1208",8,"Snowman","Sia",165150,2021-02-18
"1209",9,"Weak","Larissa Lambert",153864,2021-02-18
"1210",10,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",149498,2021-02-18
"1211",11,"happy","Skinnyfabs",139204,2021-02-18
"1212",12,"34+35","Ariana Grande",138960,2021-02-18
"1213",13,"Hurts So Good","Astrid S",137614,2021-02-18
"1214",14,"Heather","Conan Gray",132120,2021-02-18
"1215",15,"Putus Atau Terus","Judika",130313,2021-02-18
"1216",16,"Katakan Saja","Khifnu",127453,2021-02-18
"1217",17,"Makna Cinta","Rizky Febian",126594,2021-02-18
"1218",18,"positions","Ariana Grande",123877,2021-02-18
"1219",19,"Cuek","Rizky Febian",121271,2021-02-18
